cba_id,source,filename,filepath,employer,union,state_abbrev,state_name,state_fips,sector,naics,naics_description,effective_date,expiration_date,n_workers,multi_state,metadata_source,also_in_dol,also_in_cornell,mistral_contract_year,mistral_naics,mistral_n_occupations,mistral_mean_wage,mistral_median_wage,mistral_step_up
Cornell_DoL_2502Abbyy.pdf,Cornell_DoL,2502Abbyy.pdf,Cornell Archive/Cornell-DoL/2502Abbyy.pdf,Allegheny Ludlum Corporation,"United Steelworkers of America (USWA), Local 1138",CT,Connecticut,09,Private,331111,,2001-07-01,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_6858Abbyy.pdf,Cornell_DoL,6858Abbyy.pdf,Cornell Archive/Cornell-DoL/6858Abbyy.pdf,"General Industry and Pork Stores, Greater New York Meat Trade","United Food and Commercial Workers Union (UFCW), AFL-CIO, CLC, Local 342",NY,New York,36,Private,311611,,2003-06-21,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_6883ABBYY.pdf,Cornell_DoL,6883ABBYY.pdf,Cornell Archive/Cornell-DoL/6883ABBYY.pdf,"King Soopers Inc., Dillon Companies, Inc.","United Food and Commercial Workers (UFCW), AFL-CIO, Local 7",CO,Colorado,08,Private,44511,,1999-07-11,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8615ABBYY.pdf,Cornell_DoL,8615ABBYY.pdf,Cornell Archive/Cornell-DoL/8615ABBYY.pdf,"Maryland Heavy & Highway Contractors Association, Inc. (highway &","International Union of Operating Engineers (IUOE), AFL-CIO, Local 37",AL,Alabama,01,Private,23731,,2002-04-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K810621combined.pdf,Cornell_DoL,K810621combined.pdf,Cornell Archive/Cornell-DoL/K810621combined.pdf,"Philadelphia, City of","International Association of Fire Fighters (IAFF), AFL-CIO, Local 22",DE,Delaware,10,,92216,,2002-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K810635_12_06combined.pdf,Cornell_DoL,K810635_12_06combined.pdf,Cornell Archive/Cornell-DoL/K810635_12_06combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K820829combined.pdf,Cornell_DoL,K820829combined.pdf,Cornell Archive/Cornell-DoL/K820829combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K811284combined.pdf,Cornell_DoL,K811284combined.pdf,Cornell Archive/Cornell-DoL/K811284combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_5274ABBYY.pdf,Cornell_DoL,5274ABBYY.pdf,Cornell Archive/Cornell-DoL/5274ABBYY.pdf,Motor Carrier Labor Advisory Council & Chicago Regional,"International Brotherhood of Teamsters (IBT), AFL-CIO, Local 705",CA,California,06,Private,484121,,2003-04-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830820_06_08combined.pdf,Cornell_DoL,K830820_06_08combined.pdf,Cornell Archive/Cornell-DoL/K830820_06_08combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_1645ABBYY.pdf,Cornell_DoL,1645ABBYY.pdf,Cornell Archive/Cornell-DoL/1645ABBYY.pdf,"Merck and Company, Inc.","Paper, Allied-Industrial, Chemical and Energy Workers International Union, Local 2",NJ,New Jersey,34,Private,325412,,2004-05-01,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_6758Abbyy.pdf,Cornell_DoL,6758Abbyy.pdf,Cornell Archive/Cornell-DoL/6758Abbyy.pdf,"Safeway, Inc.","United Food & Commercial Workers International Union (UFCW), AFL-CIO, Local 400",DC,District of Columbia,11,Private,44511,,2004-03-28,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_4058Abbyy.pdf,Cornell_DoL,4058Abbyy.pdf,Cornell Archive/Cornell-DoL/4058Abbyy.pdf,Cessna Aircraft Company,International Association of Machinists and Aerospace Workers (IAM),HI,Hawaii,15,Private,336411,,2001-10-14,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_5201ABBYY.pdf,Cornell_DoL,5201ABBYY.pdf,Cornell Archive/Cornell-DoL/5201ABBYY.pdf,National Master Freight Agreement Covering Over-the-Road and Local,"Teamsters National Freight Industry Negotiating Committee, International",AL,Alabama,01,Private,484121,,2003-04-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8169ABBYY.pdf,Cornell_DoL,8169ABBYY.pdf,Cornell Archive/Cornell-DoL/8169ABBYY.pdf,"Associated General Contractors of Missouri, Inc.","Western Missouri and Kansas Laborers District Council, Laborers, Local 319",MO,Missouri,29,Private,23731,,2002-05-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K810749_06_05combined.pdf,Cornell_DoL,K810749_06_05combined.pdf,Cornell Archive/Cornell-DoL/K810749_06_05combined.pdf,"Oklahoma City, City of","International Association of Fire Fighters (IAFF), AFL-CIO, Local 157",LA,Louisiana,22,,92216,,2004-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8913ABBYY.pdf,Cornell_DoL,8913ABBYY.pdf,Cornell Archive/Cornell-DoL/8913ABBYY.pdf,"Constructors’ Labor Council of West Virginia, Inc. (Heavy and Highway","International Union of Operating Engineers (IUOE), AFL-CIO, Local 132",WV,West Virginia,54,Private,23731,,2004-12-07,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K820820combined.pdf,Cornell_DoL,K820820combined.pdf,Cornell Archive/Cornell-DoL/K820820combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_6876ABBYY.pdf,Cornell_DoL,6876ABBYY.pdf,Cornell Archive/Cornell-DoL/6876ABBYY.pdf,Giant Food LLC,"United Food and Commercial Workers (UFCW), AFL-CIO, Local 400",DC,District of Columbia,11,Private,44511,,2004-03-28,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_4025ABBYY.pdf,Cornell_DoL,4025ABBYY.pdf,Cornell Archive/Cornell-DoL/4025ABBYY.pdf,General Motors Corporation,"International Union of Electronic, Electrical, Salaried, Machine & Furniture",OH,Ohio,39,Private,336112,,1999-11-29,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_K800267_06_03ABBYY.pdf,Cornell_DoL,K800267_06_03ABBYY.pdf,Cornell Archive/Cornell-DoL/K800267_06_03ABBYY.pdf,"New Hampshire, State of","State Employees Association of New Hampshire, Service Employees International, Local 1984",CO,Colorado,08,,92119,,2001-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_6764Abbyy.pdf,Cornell_DoL,6764Abbyy.pdf,Cornell Archive/Cornell-DoL/6764Abbyy.pdf,Meijer Stores,"United Food & Commercial Workers International Union (UFCW), AFL-CIO-, Local 1099",IN,Indiana,18,Private,44511,,2000-10-22,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8697ABBYY.pdf,Cornell_DoL,8697ABBYY.pdf,Cornell Archive/Cornell-DoL/8697ABBYY.pdf,"Eastern Contractors Association, Inc.","Eastern New York Laborers District Council, Laborers International Union of North, Local 157",AL,Alabama,01,Private,23621,,2000-05-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830425_12_04combined.pdf,Cornell_DoL,K830425_12_04combined.pdf,Cornell Archive/Cornell-DoL/K830425_12_04combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8417ABBYY.pdf,Cornell_DoL,8417ABBYY.pdf,Cornell Archive/Cornell-DoL/8417ABBYY.pdf,"Associated General Contractors of California, Inc., Building Industry","Southern California District Council of Laborers, Laborers International Union of, Local 89",CA,California,06,Private,23621,,2004-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_7445ABBYY.pdf,Cornell_DoL,7445ABBYY.pdf,Cornell Archive/Cornell-DoL/7445ABBYY.pdf,CUNA Mutual Insurance Society,"Office & Professional Employees International Union (OPEIU), AFL-CIO, Local 39",MA,Massachusetts,25,Private,524114,,2005-06-16,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800341ABBYY.pdf,Cornell_DoL,K800341ABBYY.pdf,Cornell Archive/Cornell-DoL/K800341ABBYY.pdf,Board of Education of the Montebello Unified School District,"Montebello Teachers Association, National Education Association (NEA)",CA,California,06,,61111,,2004-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830719combined.pdf,Cornell_DoL,K830719combined.pdf,Cornell Archive/Cornell-DoL/K830719combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830825combined.pdf,Cornell_DoL,K830825combined.pdf,Cornell Archive/Cornell-DoL/K830825combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K820338ABBYYY.pdf,Cornell_DoL,K820338ABBYYY.pdf,Cornell Archive/Cornell-DoL/K820338ABBYYY.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_2500Abbyy.pdf,Cornell_DoL,2500Abbyy.pdf,Cornell Archive/Cornell-DoL/2500Abbyy.pdf,"Acme Steel Company, Acme Packaging Corporation, Acme","United Steelworkers of America (USWA), AFL-CIO-CLC",AL,Alabama,01,Private,331111,,2000-02-04,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_K820240_08_04ABBYY.pdf,Cornell_DoL,K820240_08_04ABBYY.pdf,Cornell Archive/Cornell-DoL/K820240_08_04ABBYY.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
