document_id,contract_year,cola_strict,cola_broad
2767,,0,0
1848,2014,0,0
3526,2013,0,0
4349,2019,0,0
484,,0,0
2049,,0,0
1370,2013,0,0
1059,,0,0
216,1993,0,1
1366,1999,0,0
1736,2004,0,0
3072,,0,1
979,2003,0,0
88,2005,0,0
2008,2010,0,0
754,2007,0,0
1761,2009,0,0
304,,0,1
187,2002,0,1
3160,2000,0,0
492,,0,0
3530,2013,0,0
538,2005,0,0
3863,,0,0
3161,1995,0,0
1625,,0,0
610,2006,0,0
2009,2009,0,0
755,2004,0,0
305,2001,0,0
3423,2004,0,0
89,2000,0,0
978,2000,0,0
1808,2008,0,0
3136,2002,0,0
4020,2019,0,0
4535,,0,0
2674,,0,0
3065,2002,0,0
3435,,0,0
3823,,0,0
3989,2018,0,0
3209,2011,0,1
2048,2009,0,0
2418,2015,0,0
1371,2019,0,0
3462,2009,0,0
3032,2005,0,0
893,2005,0,0
2766,,0,0
3874,,0,1
1849,2012,0,0
4431,,0,0
313,,1,1
807,2005,0,0
554,2005,0,0
104,,0,1
1424,2003,0,0
368,2008,0,0
1166,2002,0,0
1865,2012,0,0
850,2020,0,0
1023,2003,0,0
1189,2005,0,0
2930,2002,1,1
780,2007,0,0
2033,2008,0,0
2619,,0,0
903,2005,0,0
779,,0,0
2025,2010,0,0
796,2004,0,0
3264,2011,0,0
1609,2000,0,0
1127,2020,0,0
1577,1999,0,0
954,2006,0,0
407,,0,1
2137,2014,0,0
2567,2019,0,0
2971,2001,0,0
2072,2013,0,0
2005,2009,0,0
2906,2003,0,0
759,2004,0,0
2140,2015,0,0
1445,2005,0,0
470,2009,0,0
3182,2007,0,0
889,2004,0,0
2793,1999,0,0
923,2007,0,0
1150,2004,0,0
3213,,0,0
2052,,0,0
2402,2016,0,0
2814,2005,0,0
1691,2003,0,0
974,2008,0,0
85,2010,0,0
132,1998,0,1
562,2003,0,0
2681,2005,0,0
2044,2010,0,0
3340,1997,0,0
431,2003,1,1
827,2004,0,0
1541,2003,0,0
1111,2005,0,0
1795,2008,0,0
1280,2019,0,1
2785,,0,0
4201,2019,0,0
466,2003,0,0
1453,2007,0,0
489,,0,0
173,,0,0
1516,2002,0,0
2087,2012,0,0
4016,2019,0,0
2068,2015,0,0
3100,2003,0,0
3550,2016,0,1
2711,,0,0
1306,2019,0,0
4104,2020,0,0
333,2004,0,1
1756,2000,0,0
763,2005,0,0
626,2007,0,0
4368,2021,0,0
1490,1999,0,0
3157,2000,0,0
1310,2000,0,0
1255,2019,0,0
4057,2008,0,0
3792,,0,0
3141,2002,0,0
519,2009,0,1
